"","Year","Month","Stock_lag_MV","Stock_Ew_Ret","Stock_Vw_Ret"
"1",1926,1,26903952.5625,0.0234050475206612,0.000247180482040281
"2",1926,2,27032345.25,-0.053836537525355,-0.0338886685668784
"3",1926,3,26162083.6875,-0.09720597,-0.0649033247948447
"4",1926,4,24506934.1875,0.0315465407554672,0.0366096401637987
"5",1926,5,25296194.5625,0.000904484251968505,0.0123035418861394
"6",1926,6,25587309.25,0.0498888332149314,0.0544026009199517
"7",1926,7,25587309.25,0.012696212723658,0.031226039589796
"8",1926,8,26937267.125,0.0304644691119691,0.0288715079341538
"9",1926,9,28424773.75,-0.00663076356589148,0.00582063259928636
"10",1926,10,28308141.5625,-0.0344609652509653,-0.0291681458167859
"11",1926,11,27501095.375,0.0246087413793103,0.0278439134195809
"12",1926,12,28281302.625,0.0242193752380952,0.0293355290219524
"13",1927,1,29615346.5625,0.0119328311195446,0.00188801672250488
"14",1927,2,29783695.3125,0.0573287514124294,0.0444647149351987
"15",1927,3,31217836.9375,-0.0191877132075472,0.00424405200336846
"16",1927,4,31199380.1875,0.00752254104477612,0.00727859269490888
"17",1927,5,31452864.5625,0.0629864179104478,0.0574646786465502
"18",1927,6,33469629.1875,-0.0179796043956044,-0.0207879846873836
"19",1927,7,32783069.4375,0.0583997996323529,0.0751438627567991
"20",1927,8,35015154,0.00711617122040073,0.0233237183964404
"21",1927,9,35793629.8125,0.0319705333333333,0.0505725872821007
"22",1927,10,39052717.1875,-0.0385864982269504,-0.0403569108372304
"23",1927,11,37295541.0625,0.0975794902998236,0.0676176947771608
"24",1927,12,39512042.0625,0.0308005578947368,0.0245305144891637
"25",1928,1,40899814.0625,0.0320120783972125,-0.0039688547688033
"26",1928,2,40131604.75,-0.0221225993031359,-0.0134862611957973
"27",1928,3,39404019.625,0.0730016311188811,0.0906565932236719
"28",1928,4,42920254,0.0871275218914186,0.0443032276001458
"29",1928,5,44712654.5,0.044395,0.0184480839729583
"30",1928,6,45655523.4375,-0.0701875026269702,-0.0451178521499415
"31",1928,7,43615929.9375,0.00106032068965517,0.00898234810147746
"32",1928,8,44218221.25,0.0577908905982906,0.0695077684193634
"33",1928,9,47406648.8125,0.0501485119047619,0.0313788158999379
"34",1928,10,49010121.4375,0.0170319577702703,0.0172214509513751
"35",1928,11,50023732.1875,0.116075212730318,0.121577336060377
"36",1928,12,56214138,-0.00471539534883721,0.00432444915568101
"37",1929,1,58301298.25,0.0335982549342105,0.0501671347866266
"38",1929,2,61869494.3125,0.00621890016366612,0.000204349210341354
"39",1929,3,61098821.375,-0.03295078802589,-0.00512988248839166
"40",1929,4,61219707.875,0.0152429840764331,0.0178933509282369
"41",1929,5,63655318.25,-0.0912417045813586,-0.0591296973868396
"42",1929,6,60690745.125,0.0742520385208012,0.102244459897125
"43",1929,7,66689186.75,0.0202337484756098,0.0456432665890859
"44",1929,8,69819106.1875,0.0274624636363636,0.0873901460440858
"45",1929,9,77225860.5625,-0.0442429926253687,-0.050599093914891
"46",1929,10,74380039.625,-0.210855236802413,-0.195253236766145
"47",1929,11,60498277,-0.129299089414854,-0.124703502116707
